Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
E Bölge Müdürlüğü,IT-592-015,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-01-06,450000,450000,756619,TL
B Bölge Müdürlüğü,IT-592-091,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-04-30,1200000,1200000,4608721,TL
E Bölge Müdürlüğü,IT-592-071,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-07,750000,750000,2187641,TL
D Bölge Müdürlüğü,IT-592-014,Kobi,Nakdi Krediler,İskonto Kredileri,İskonto Kredisi,T,100009,2015-05-04,360252,360252,407987,TL
E Bölge Müdürlüğü,IT-592-090,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-03-25,3000000,3000000,8141504,TL
D Bölge Müdürlüğü,IT-592-044,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-24,500000,500000,710685,TL
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-05-11,1500000,1500000,2391034,TL
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-10,300000,300000,734725,TL
E Bölge Müdürlüğü,IT-592-094,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-15,350000,350000,549216,TL
D Bölge Müdürlüğü,IT-592-088,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-24,300000,300000,356599,TL
E Bölge Müdürlüğü,IT-592-022,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-29,220000,220000,648036,TL
B Bölge Müdürlüğü,IT-592-084,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-05-06,700000,700000,892394,TL
E Bölge Müdürlüğü,IT-592-039,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-08-11,300000,300000,365604,TL
E Bölge Müdürlüğü,IT-592-098,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-06-29,400000,400000,1849253,TL
D Bölge Müdürlüğü,IT-592-001,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-09-15,235000,235000,1730771,TL
C Bölge Müdürlüğü,IT-592-086,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-22,135000,135000,16531,TL
E Bölge Müdürlüğü,IT-592-027,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-01-14,5000000,5000000,595179,TL
C Bölge Müdürlüğü,IT-592-040,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-02-12,34000,34000,46675,TL
E Bölge Müdürlüğü,IT-592-061,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-02-13,12000,12000,42214,TL
A Bölge Müdürlüğü,IT-592-065,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-02-19,14500,14500,2446,TL
E Bölge Müdürlüğü,IT-592-027,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-03-03,14000,14000,54734,TL
B Bölge Müdürlüğü,IT-592-079,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-03-10,22000,22000,387673,TL
C Bölge Müdürlüğü,IT-592-073,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-03-17,36000,36000,8275,TL
A Bölge Müdürlüğü,IT-592-036,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-03-23,17000,17000,46102,TL
B Bölge Müdürlüğü,IT-592-026,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-04-01,39000,39000,241684,TL
B Bölge Müdürlüğü,IT-592-031,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-04-28,120000,120000,204012,TL
C Bölge Müdürlüğü,IT-592-046,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-01-26,180000,180000,21100615,TL
B Bölge Müdürlüğü,IT-592-016,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-02-12,44500,44500,185883,TL
A Bölge Müdürlüğü,IT-592-072,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-03-07,58000,58000,119152,TL
B Bölge Müdürlüğü,IT-592-092,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-03-10,58000,58000,58026,TL
D Bölge Müdürlüğü,IT-592-088,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-03-17,16320,16320,20698,TL
B Bölge Müdürlüğü,IT-592-030,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2015-04-28,21750,21750,25532,TL
D Bölge Müdürlüğü,IT-592-044,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-06-22,400000,400000,1938403,TL
E Bölge Müdürlüğü,IT-592-004,Kobi,Gayri Nakdi Krediler,Gayri Nakdi Krediler,Teminat Mektubu,T,910001,2016-06-29,400000,400000,414283,TL
D Bölge Müdürlüğü,IT-592-041,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,Dış Kaynaklı Kredi,T,140302,2015-10-22,1750000,1750000,9469226,TL
E Bölge Müdürlüğü,IT-592-055,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,140302,2015-04-10,1500000,1500000,5394629,TL
B Bölge Müdürlüğü,IT-592-056,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,118302,2015-07-13,1300000,1300000,2589728,TL
E Bölge Müdürlüğü,IT-592-035,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,118302,2016-05-30,2000000,2000000,2843104,TL
B Bölge Müdürlüğü,IT-592-075,Kobi,Nakdi Krediler,Taksitli Ticari Krediler,İşletme İhtiyaç Kredisi,T,118302,2016-07-15,680000,680000,734998,TL
C Bölge Müdürlüğü,IT-592-087,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-03-17,1000000,1000000,1211324,TL
A Bölge Müdürlüğü,IT-592-037,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-04-01,2750000,2750000,162735658,TL
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-04-09,2250000,2250000,5518161,TL
E Bölge Müdürlüğü,IT-592-003,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-04-15,2220000,2220000,21423791,TL
